MONDAY  12 JUNE 2017,,,
Great Northern Highway,Millendon,Tonkin Highway,Gosnells
Highgate Primary,Perth,Tonkin Highway,Forrestdale
Leach Highway,Willagee,Warwick Road,Duncraig
Main Street,Balcatta,Welshpool Road East,Wattle Grove
Mandurah Road,Singleton,West Coast Highway,Mount Claremont
Manning Road,Manning,West Swan Road,Belhus
Marmion Avenue,Trigg,Westfield Road,Camillo
Melville Primary,Melville,Willeri Drive,Parkwood
FRIDAY  16 JUNE 2017,,,
Street Name,Suburb,Street Name,Suburb
Armadale Road,Piara Waters,Kwinana Freeway,Baldivis
Armadale Road,Armadale,Leach Highway,Willagee
Brixton Street,Kenwick,Lynwood Senior High,Parkwood
Bushmead Road,Hazelmere,Marmion Street,Melville
Canning Highway,Alfred Cove,Mcgilvray Avenue,Morley
Caralee Community,Willagee,Mother Teresa Catholic,Baldivis
Collier Road,Bassendean,Nicholson Road,Canning Vale
Ennis Avenue,Warnbro,Northwood Drive,Mirrabooka
Floreat Park Primary,Floreat,Pickering Brook Road,Pickering Brook
Forrest Road,Hamilton Hill,Preston Point Road,East Fremantle
Forrest Road,Haynes,Roe Highway,Langford
Glengarry Primary,Duncraig,Rowley Road,Banjup
Great Eastern Highway,Greenmount,Seton Catholic College,Samson
Great Eastern Highway Bypass,Hazelmere,South Western Highway,Wungong
Guildford Road,Ashfield,St Norbert College,Queens Park
Helena Valley Road,Helena Valley,Streich Avenue,Kelmscott
Hepburn Avenue,Greenwood,Thomas Street,Kings Park
High Street,Fremantle,Wanneroo Road,Carramar
Hillarys Primary,Hillarys,Wanneroo Road,Hocking
Holy Spirit Primary,City Beach,Welshpool Road East,Lesmurdie
Koorana Primary,Warnbro,West Coast Highway,City Beach
Kwinana Freeway,Success,Whitfords Avenue,Hillarys
SATURDAY  17 JUNE 2017,,,
Street Name,Suburb,Street Name,Suburb
Albany Highway,Beckenham,Midland Road,Maida Vale
Alexander Drive,Landsdale,Mirrabooka Avenue,Girrawheen
Alexander Drive,Alexander Heights,Mitchell Freeway,Heathridge
Armadale Road,Haynes,Mitchell Freeway,Leederville
Beach Road,Duncraig,Murdoch Drive,Murdoch
Beechboro Road North,Whiteman,North Lake Road,North Lake
Canning Highway,Victoria Park,North Lake Road,Cockburn Central
Del Park Road,Marrinup,North Street,Cottesloe
Erindale Road,Balcatta,Ord Street,Fremantle
Farrington Road,Murdoch,Pinjarra Road,Ravenswood
Forrest Highway,Ravenswood,Preston Point Road,East Fremantle
Garden Street,Canning Vale,Railway Avenue,Kelmscott
Great Eastern Highway,Parkerville,Reid Highway,Bennett Springs
Great Eastern Highway,Sawyers Valley,Reid Highway,Mirrabooka
Great Eastern Highway Bypass,South Guildford,Roe Highway,High Wycombe
Hayman Road,Como,Roe Highway,Maida Vale
Hodges Drive,Ocean Reef,Russell Road,Hammond Park
Kalamunda Road,South Guildford,South Western Highway,Byford
Karel Avenue,Bull Creek,South Western Highway,Blythewood
Leach Highway,Willagee,Southern River Road,Huntingdale
Loftus Street,Leederville,Stirling Highway,Cottesloe
Maddington Road,Maddington,Stoneville Road,Stoneville
Maida Vale Road,Maida Vale,Wanneroo Road,Wanneroo
Marmion Avenue,Karrinyup,Warton Road,Huntingdale
Marmion Street,Melville,,
SUNDAY  18 JUNE 2017,,,
Street Name,Suburb,Street Name,Suburb
Abernethy Road,Belmont,Manning Road,Karawara
Alexander Drive,Inglewood,Marmion Avenue,Alkimos
Archibald Street,Willagee,Marmion Street,East Fremantle
Armadale Road,Forrestdale,Mitchell Freeway,West Perth
Bannister Road,Canning Vale,Mitchell Freeway,Northbridge
Brook Road,Kenwick,Murdoch Drive,Bateman
Cockburn Road,North Coogee,Nicholson Road,Langford
Dorothy Street,Gosnells,North Lake Road,North Lake
Great Northern Highway,Herne Hill,North Lake Road,Coolbellup
Guildford Road,Bayswater,Orrong Road,Welshpool
Hester Avenue,Merriwa,Paganoni Road,Karnup
High Road,Willetton,Ranford Road,Canning Vale
Jon Sanders Drive,Glendalough,Reid Highway,Caversham
Kings Park Road,West Perth,Reid Highway,Westminster
Kwinana Freeway,Wandi,Rockingham Road,Munster
Kwinana Freeway,Stake Hill,South Street,O'Connor
Leach Highway,Bentley,South Street,Kardinya
Leach Highway,Melville,Stock Road,Samson
Leach Highway,Riverton,Thomas Street,Kings Park
Leach Highway,Palmyra,Tonkin Highway,Maddington
Lord Street,Brabham,Wanneroo Road,Nollamara
Main Street,Osborne Park,West Coast Drive,Sorrento
Mandjoogoordap Drive,Parklands,West Swan Road,Caversham
Mandurah Road,Dudley Park,Whitfords Avenue,Craigie
Manning Road,Waterford,,
