MONDAY 17 APRIL 2017,,,
Mandurah Road,Port Kennedy,Toodyay Road,Red Hill
Mandurah Road,Warnbro,Wanneroo Road,Yanchep
Old Coast Road,Bouvard,Wanneroo Road,Nowergup
Rockingham Road,Kwinana Beach,,
SATURDAY 22 APRIL 2017,,,
Street Name,Suburb,Street Name,Suburb
Albany Highway,Bedfordale,Rockingham Road,Naval Base
Brookton Highway,Roleystone,Safety Bay Road,Baldivis
Forrest Highway,South Yunderup,South Western Highway,Serpentine
Great Eastern Highway,Mundaring,South Western Highway,Byford
Great Northern Highway,Bullsbrook,Tonkin Highway,Southern River
Great Northern Highway,Upper Swan,Tonkin Highway,Champion Lakes
Kwinana Freeway,Baldivis,Toodyay Road,Gidgegannup
Mandurah Road,Port Kennedy,Toodyay Road,Red Hill
Mandurah Road,Warnbro,Wanneroo Road,Yanchep
Old Coast Road,Dawesville,Wanneroo Road,Nowergup
SUNDAY 23 APRIL 2017,,,
Street Name,Suburb,Street Name,Suburb
Albany Highway,Bedfordale,Safety Bay Road,Baldivis
Brookton Highway,Roleystone,South Western Highway,Serpentine
Forrest Highway,West Pinjarra,South Western Highway,Coolup
Great Eastern Highway,Mundaring,South Western Highway,Byford
Great Northern Highway,Bullsbrook,Tonkin Highway,Champion Lakes
Great Northern Highway,Upper Swan,Toodyay Road,Gidgegannup
Kwinana Freeway,Baldivis,Toodyay Road,Red Hill
Mandurah Road,Warnbro,Wanneroo Road,Nowergup
Rockingham Road,Naval Base,,
